,next_session_return,intraday_return_1min,intraday_return_5min,intraday_return_15min,intraday_return_30min
surprise_x_volume_ratio_7d,0.04936760489505803,0.08410677161054338,0.059895078454834806,0.039468798064670955,0.03134202070981236
intraday_vol,0.0465373292515247,0.004597506772707874,0.09068901765437277,0.032104862878894795,0.01375171193961091
earnings_amc,0.04347833839339266,0.02773298371146424,0.053182893712131786,0.06190016527162476,0.03952024369801797
earnings_time,0.04347833839339266,0.02773298371146424,0.053182893712131786,0.06190016527162476,0.03952024369801797
earnings_bmo,0.043478338393392636,0.02773298371146426,0.05318289371213178,0.06190016527162479,0.03952024369801796
sector_FINANCIAL SERVICES,0.040900948647542915,0.04776496386880558,0.0485570483416512,0.026519936514831203,0.02906041273038888
industry_FINANCIAL SERVICES,0.040900948647542915,0.04776496386880558,0.0485570483416512,0.026519936514831203,0.02906041273038888
momentum_acceleration,0.038312440599294735,0.0258716736848538,0.002656196501478958,0.06824986071994882,0.06919298786428911
market_cap_log_sector_rank,0.03696389642562912,0.0020585173253263823,0.03633401491416794,0.039635866065880945,0.056424098178875004
pct_change_open,0.03351089516153893,0.01943735702178976,0.039678353535142964,0.016393084021654493,0.01159210460713752
open_gap,0.03351089516153886,0.019437357021789822,0.03967835353514296,0.01639308402165454,0.011592104607137508
volume_x_market_cap,0.031006944249576306,0.0023034299846754636,0.015461904086801107,0.031065157252640575,0.03088103231496789
volume_ratio_7_day_sector_zscore,0.030951114716050745,0.030831577003227063,0.007229491292721568,0.04522299655127182,0.04203710485367548
is_friday,0.030369920143763707,0.021128475918059317,0.017465843148659347,0.015813906471858184,0.02008294561479358
volume_ratio_7_day_rolling_mean,0.02861044605586577,0.006887516808092828,0.0056918802924394545,0.029393214519966814,0.027274204434243127
volume_ratio_7_day,0.02861044605586577,0.006887516808092828,0.0056918802924394545,0.029393214519966814,0.027274204434243127
close_price,0.027995027792018047,0.013502891681836552,0.04116201434816197,0.02963213431239509,0.01915754196416281
surprise_x_volume_ratio_30d,0.026477173998523475,0.061711106825967185,0.04034629456493031,0.003321658108775455,0.01243299979449296
premarket_volume_normalized,0.02645325686481227,0.05687602735181627,0.02465731175055356,0.009866863193494982,0.008246417881241048
industry_TECHNOLOGY,0.025100838882333935,0.027910125779072464,0.010097363419887935,0.014610407157147058,0.02685209231337804
sector_TECHNOLOGY,0.025100838882333935,0.027910125779072464,0.010097363419887935,0.014610407157147058,0.02685209231337804
volume_x_gap,0.024587290264980615,0.013727893732269717,0.01135373265453764,0.002344940913882585,0.013657465343976143
surprise_sector_zscore,0.022002629788671346,0.026668468855663124,0.004261456507276899,0.0015049970179307369,0.01557861427480281
premarket_low,0.021460050915929854,0.019582685186768242,0.03612695439854999,0.03281396474218253,0.017338746491669218
surprise_x_market_cap,0.021458992722057837,0.0018536918714749193,0.02888872785188956,0.04223373991347175,0.05799544773317997
low_price,0.021324131709592964,0.012827971260657869,0.03970703835949575,0.02760330037076758,0.01637181684027278
premarket_midpoint,0.02073861954361795,0.018338109884495298,0.03494508270862583,0.031915729267949014,0.01650705430786147
premarket_range,0.020154092083083556,0.002734046034018727,0.0007682985870979407,0.0013920051154157932,0.00042093960375464887
premarket_high,0.020022678879542476,0.01711060480407784,0.033771783272760154,0.031021674799196108,0.015684916594670882
premarket_range_x_surprise,0.019919338992009806,0.0034171187665268535,0.001145110794856419,0.0016178387137759803,0.0003689679468542303
premarket_gap_x_volume,0.01971265893115846,0.0035791395362590847,0.0015682252102795257,0.0021700022085032293,0.0011373631680649953
premarket_gap,0.01971229044266493,0.00357763693374013,0.001567771057863449,0.0021731981637958726,0.0011400098445356066
industry_ENERGY,0.018315487677462914,0.009514096012248119,0.03106836553142074,0.002313284865929408,0.010420052701346902
sector_ENERGY,0.018315487677462914,0.009514096012248119,0.03106836553142074,0.002313284865929408,0.010420052701346902
volume_30_day_avg,0.01802420649075059,0.021715878223856795,0.01717039709573643,0.024676935919510635,0.03223339215470266
high_price,0.017434838070841712,0.011203868279247036,0.03709808989691072,0.024987130273266985,0.013981215274282656
market_cap_log_sector_zscore,0.017271949724930256,0.007607436688586551,0.031097847800420013,0.023364349145876578,0.03931207707560238
surprise_sector_rank,0.016841800468958407,0.002011990974811525,0.00015261473566727083,0.000886024749682046,0.004967932999798229
sector_BANKING,0.016467253103674456,0.035048930497874206,0.01947897983988871,0.017709794230404995,0.03373887937788166
industry_BANKING,0.016467253103674456,0.035048930497874206,0.01947897983988871,0.017709794230404995,0.03373887937788166
industry_HEALTH CARE,0.015275242841669066,0.016414303187571748,0.03085110366537665,0.008020693189383447,0.0007256568733314495
sector_HEALTH CARE,0.015275242841669066,0.016414303187571748,0.03085110366537665,0.008020693189383447,0.0007256568733314495
premarket_volume,0.015181884519030716,0.009092463879960091,0.026488773905990918,0.009320104862578784,0.01733561408058033
market_cap_log,0.014874576354678901,0.00040112567956544873,0.042830581628004814,0.017047834084484056,0.02703871587928937
data_source_ALPACA,0.014836927947070231,0.009516771829670657,0.004338112361220074,0.005899463094217252,0.0028325770062759517
data_source_FINNHUB,0.014836927947070184,0.009516771829670789,0.004338112361220262,0.0058994630942172934,0.0028325770062759326
sector_MEDIA,0.014526783620530802,0.035184068791066135,0.01787225397052424,0.01617554118271417,0.016161516087503068
volume_7_day_avg,0.013569035262980637,0.018590357696518008,0.017670221592508167,0.029886975295351285,0.032899358278552546
is_monday,0.013112240015239434,0.029544647134765383,0.06757987532317815,0.026819056695441303,0.03901319893901136
sector_ELECTRICAL EQUIPMENT,0.012606346037858717,0.003078700083190165,0.01986735466164975,0.007320780470367627,0.01669645332479216
